dob,photo_taken,full_path,gender
714055,2011,nm0000100_rm1001569280_1955-1-6_2011.jpg,1.0
714055,2003,nm0000100_rm1002674432_1955-1-6_2003.jpg,1.0
714055,2011,nm0000100_rm1018346496_1955-1-6_2011.jpg,1.0
714055,2003,nm0000100_rm1019451648_1955-1-6_2003.jpg,1.0
714055,2005,nm0000100_rm103389184_1955-1-6_2005.jpg,1.0
714055,2011,nm0000100_rm1035123712_1955-1-6_2011.jpg,1.0
714055,2003,nm0000100_rm1036228864_1955-1-6_2003.jpg,1.0
714055,2011,nm0000100_rm1051900928_1955-1-6_2011.jpg,1.0
714055,2003,nm0000100_rm1069783296_1955-1-6_2003.jpg,1.0
714055,2007,nm0000100_rm1079482368_1955-1-6_2007.jpg,1.0
714055,2007,nm0000100_rm1096259584_1955-1-6_2007.jpg,1.0
714055,2007,nm0000100_rm1129814016_1955-1-6_2007.jpg,1.0
714055,2003,nm0000100_rm113481984_1955-1-6_2003.jpg,1.0
714055,2007,nm0000100_rm1146591232_1955-1-6_2007.jpg,1.0
714055,2007,nm0000100_rm1163368448_1955-1-6_2007.jpg,1.0
714055,2007,nm0000100_rm1180145664_1955-1-6_2007.jpg,1.0
714055,2002,nm0000100_rm1194366976_1955-1-6_2002.jpg,1.0
714055,2007,nm0000100_rm1196922880_1955-1-6_2007.jpg,1.0
714055,2005,nm0000100_rm120166400_1955-1-6_2005.jpg,1.0
714055,2007,nm0000100_rm1247254528_1955-1-6_2007.jpg,1.0
714055,2007,nm0000100_rm1264031744_1955-1-6_2007.jpg,1.0
714055,2007,nm0000100_rm1280808960_1955-1-6_2007.jpg,1.0
714055,2003,nm0000100_rm12818688_1955-1-6_2003.jpg,1.0
714055,2011,nm0000100_rm129154048_1955-1-6_2011.jpg,1.0
714055,2003,nm0000100_rm130259200_1955-1-6_2003.jpg,1.0
714055,2007,nm0000100_rm1314363392_1955-1-6_2007.jpg,1.0
714055,2003,nm0000100_rm147036416_1955-1-6_2003.jpg,1.0
714055,2001,nm0000100_rm1479186432_1955-1-6_2001.jpg,1.0
714055,2003,nm0000100_rm197368064_1955-1-6_2003.jpg,1.0
714055,2007,nm0000100_rm2019006464_1955-1-6_2007.jpg,1.0
714055,2002,nm0000100_rm2083559424_1955-1-6_2002.jpg,1.0
